id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0001,NERES_2,01 3 UA SUBLE,1010.4,Neres 2,proposta,vigent,parcelles.json,,535379.06,25924.29,IGUAL
R0002,NERES_1,01 3 UA SUBLE,7694.4,Neres 1,proposta,vigent,parcelles.json,,535453.55,25929.26,IGUAL
R0003,FEDA_4,01 1 UA SUC,3032.4,Feda 4,proposta,vigent,parcelles.json,,535538.75,24177.19,IGUAL
R0004,FEDA_3,01 1 UA SUC,3707.4,Feda 3,proposta,vigent,parcelles.json,,535615.92,24296.48,IGUAL
R0005,FEDA_2,01 1 UA SUC,8542.2,Feda 2,proposta,vigent,parcelles.json,,535624.74,24227.86,IGUAL
R0006,EASA,01 1 UA SUC,928.4,,proposta,vigent,parcelles.json,,535652.97,24383.77,IGUAL
R0007,PLAMANERA,01 3 UA SUBLE,71377.3,Plamanera,proposta,vigent,parcelles.json,,535663.91,25917.12,IGUAL
R0008,TRESOLES,01 2 UA SUNC,15323.6,Tresoles,proposta,vigent,parcelles.json,,535709.64,24180.58,IGUAL
R0009,FEDA_1,01 1 UA SUC,19549.4,Feda 1,proposta,vigent,parcelles.json,,535728.81,24392.49,IGUAL
R0010,PRAT_DEL_SALT,01 1 UA SUC,20075.7,Prat del Salt,proposta,vigent,parcelles.json,,535783.57,24422.59,IGUAL
R0011,PRAT_DEL_SALT,01 1 UA SUC,20075.7,Prat del Salt,proposta,vigent,parcelles.json,,535783.57,24422.59,IGUAL
R0012,CABECA,01 3 UA SUBLE,57048.1,Cabeca,proposta,vigent,parcelles.json,,535801.52,24812.83,IGUAL
R0013,PLAMUSSOLA,01 3 UA SUBLE,51225.6,Plamussola,proposta,vigent,parcelles.json,,535863.42,25968.25,IGUAL
R0014,RAMONET,01 2 UA SUNC,24327.3,Ramonet,proposta,vigent,parcelles.json,,535863.62,24466.49,IGUAL
R0015,,01 3 UA SUBLE,867.8,,,vigent,parcelles.json,,535863.67,26331.45,IGUAL
